image,velocity,angular_velocity,x,y
359.png,0.0,-0.1,-6.479007820813302,-7.299370131130779
360.png,0.0,-0.1,-6.479007820813302,-7.299370131130779
361.png,0.0,-0.1,-6.478873180387983,-7.299234466541928
362.png,0.0,-0.1,-6.478796459992543,-7.2991610548836805
363.png,0.0,-0.1,-6.478749962920185,-7.299117890919083
364.png,0.0,-0.1,-6.478525296709277,-7.298921893285154
365.png,0.0,-0.1,-6.478425137644069,-7.298840836566975
366.png,0.0,-0.1,-6.478305127568997,-7.298748109481096
367.png,0.0,-0.1,-6.4781994441344395,-7.298670294157001
368.png,0.0,-0.1,-6.478090734591039,-7.298593753125268
369.png,0.0,-0.1,-6.477979031077008,-7.298518404950055
370.png,0.0,-0.1,-6.477960140206104,-7.298505977018288
371.png,0.0,-0.1,-6.477922025367038,-7.298481138873232
372.png,0.0,-0.1,-6.4778643335599195,-7.298444338182378
373.png,0.0,-0.1,-6.477686367638591,-7.298335623896871
374.png,0.0,-0.1,-6.4775217563099385,-7.298241178623214
375.png,0.0,-0.1,-6.477415628479775,-7.298183190741781
376.png,0.0,-0.1,-6.477262762382296,-7.298103313902426
377.png,0.0,-0.1,-6.477127370329539,-7.29803594958413
378.png,0.0,-0.1,-6.476987959832021,-7.29796973152604
379.png,0.0,-0.1,-6.476621161241978,-7.29780936019068
380.png,0.0,-0.1,-6.476466034754826,-7.297747161284323
381.png,0.0,-0.1,-6.47630626284058,-7.297686029025408
382.png,0.0,-0.1,-6.4761423264005185,-7.297626533493017
383.png,0.0,-0.1,-6.476001517197225,-7.297577798802723
384.png,0.0,-0.1,-6.475857903113115,-7.2975303370144005
385.png,0.0,-0.1,-6.475799047295363,-7.297511473176332
386.png,0.0,-0.1,-6.475342568472439,-7.297377036604313
387.png,0.0,-0.1,-6.475311215315547,-7.297368531723327
388.png,0.0,-0.1,-6.475085521182579,-7.2973097866750605
389.png,0.0,-0.1,-6.474987408711187,-7.297285723663287
390.png,0.0,0.0,-6.4676283997120345,-7.296778179436306
391.png,0.0,0.0,-6.467636511140037,-7.296768861299529
392.png,0.0,0.0,-6.467636511140037,-7.296768861299529
393.png,0.0,0.1,-6.46771543947739,-7.296672774260816
394.png,0.0,0.1,-6.467798483043865,-7.2965811014151285
395.png,0.0,0.1,-6.467879458473999,-7.296507572178406
396.png,0.0,0.1,-6.46793765619208,-7.296457919344979
397.png,0.0,0.1,-6.4679600434667535,-7.2964361813392875
398.png,0.0,0.1,-6.468122334565778,-7.296291275250883
399.png,0.0,0.1,-6.468162093821579,-7.296275558373349
400.png,0.0,0.1,-6.468713446986573,-7.295777225002029
401.png,0.0,0.1,-6.468726891617239,-7.295755204460487
402.png,0.0,0.1,-6.468725720041776,-7.295752301809656
403.png,0.0,0.1,-6.4685311392910325,-7.295857650141036
404.png,0.0,0.1,-6.468294850533484,-7.296053926577844
405.png,0.0,0.1,-6.468296686162724,-7.296056072197253
406.png,0.0,0.1,-6.468326647496052,-7.296074770567555
407.png,0.0,0.1,-6.46867843440932,-7.2958527563726205
408.png,0.0,0.1,-6.468714465680456,-7.295805693524985
409.png,0.0,0.1,-6.468693644008081,-7.295782462531684
410.png,0.0,0.1,-6.468522894147107,-7.29587449790891
411.png,0.0,0.1,-6.468350772695092,-7.295992290826757
412.png,0.0,0.1,-6.46834670414345,-7.296000891152916
413.png,0.0,0.1,-6.468316029935455,-7.296027624226791
414.png,0.0,0.1,-6.4683439042174165,-7.296039835554768
415.png,0.0,0.1,-6.46840946441545,-7.2960074008086595
